A	V	abdikovat	NEG	V-abdicate:3
A	N	aberace	NEG	N-aberration:45
A	N	absence	NEG	N-absence:413
A	A	absentující_^(*5ovat)	NEG	J-absentee:1
A	A	abstinentní	POS	N-temperance:3
A	N	absurdita	NEG	N-absurdity:17
A	D	absurdně_^(*1í)	NEG	R-absurdly:4,R-preposterously:1
A	A	absurdní	NEG	J-ridiculous:48,N-absurdity:12
A	N	absurdnost	NEG	R-absurdly:1
A	N	agitátor	NEG	N-agitator:12
A	V	agitovat_:T	NEG	V-stump:2
A	N	agónie	NEG	N-agony:52
A	N	agrese	NEG	N-aggression:73
A	N	agresivita	NEG	N-aggression:18,N-aggressiveness:15
A	D	agresivně_^(*1í)	NEG	J-aggressive:10,R-belligerently:1
A	A	agresivní	NEG	J-aggressive:303,J-belligerent:8,N-aggressor:2,N-pugnacity:1
A	N	agresor	NEG	N-aggressor:23
A	V	akceptovat_:T_:W	POS	V-accept:427
A	N	aklamace	POS	N-acclamation:2
A	A	aktivní	POS	N-energetic:1
A	V	aktivovat_:T	POS	V-energize:10
A	N	alarm	NEG	V-alarm:13
A	N	almužna	NEG	N-pittance:5
A	N	almužnička	NEG	N-pittance:3
A	N	altruista	POS	N-altruist:5
A	N	ambivalence	NEG	N-ambivalence:2
A	V	amputovat_:T_:W	NEG	V-amputate:28
A	N	anarchie	NEG	N-anarchy:48,N-anarchism:1
A	N	anarchista	NEG	N-anarchist:30
A	A	anarchistický	NEG	N-anarchist:5
A	N	anarchizmus_,x	NEG	N-anarchism:3
A	N	andělíček	POS	N-cherub:3
A	A	andělský	POS	N-angel:26
A	N	anihilace	NEG	N-annihilation:3
A	N	animozita	NEG	N-animosity:5
-	T	ano	POS	U-yes:17813,R-yes:14361,N-yep:70,N-affirmative:5
A	N	anomálie	NEG	N-anomaly:101
A	N	antagonismus	NEG	N-antagonism:11
A	N	antagonista	NEG	N-antagonist:2
A	N	antipatie	NEG	N-antipathy:2
A	N	apatie	NEG	N-apathy:30
A	V	apelovat_:T	POS	V-appeal:32
A	N	apokalypsa	NEG	N-apocalypse:21
A	N	apologet	POS	N-apologist:3
A	N	apoštol	POS	N-apostle:27
A	N	apoteóza	POS	N-apotheosis:7
A	N	arogance	NEG	N-arrogance:74,N-hubris:11
A	D	arogantně_^(*1í)	NEG	J-arrogant:6,R-arrogantly:3
A	A	arogantní	NEG	J-arrogant:153,V-arrogant:5
A	N	aspirace	POS	N-aspiration:52
A	V	aspirovat_:T	POS	V-aspire:11
A	N	atentátník	NEG	N-assassin:24
A	N	atrakce	POS	N-attraction:79
A	V	atrofovat_:T	NEG	V-atrophy:6
A	N	autokrat	NEG	N-autocrat:14
A	N	autorita	POS	N-clout:8
A	N	averze	NEG	N-aversion:20,J-averse:2
A	A	averzní	NEG	V-averse:1
A	N	babizna	NEG	N-harridan:1
A	N	bahno	NEG	N-slime:14,N-mire:6
A	D	báječně_^(*1ý)	POS	R-wonderfully:10,R-marvelously:2
A	A	báječný	POS	J-wonderful:444,J-marvelous:13,R-jolly:7,J-jolly:2
A	V	balamutit_:T	NEG	V-hoax:1
A	N	banalita	NEG	J-banal:1
A	A	banální	NEG	J-banal:19,N-trivial:1,N-banal:1
A	N	bankrot	NEG	V-bankrupt:4
A	N	barbar	NEG	N-barbarian:153,J-barbarous:5
A	A	barbarský	NEG	J-barbarous:21,N-barbarian:7
A	D	barbarsky_^(*1ý)	NEG	R-barbarically:1
A	N	barbarství	NEG	N-barbarity:5
A	N	bastard	NEG	N-bastard:584,V-bastard:96,R-bastard:9,J-bastard:1
A	V	bát	NEG	V-fear:646,V-worry:514,V-scare:452,N-fear:111,V-frighten:97,V-dread:26,V-intimidate:6,N-worrying:1,V-fright:1
A	V	bavit_:T	POS	V-amuse:107,V-entertain:62
A	N	bázeň	NEG	N-abasement:1
A	D	bázlivě_^(*1ý)	NEG	R-skittishly:1
A	N	bažina	NEG	N-mire:2
A	N	bdělost_^(*3ý)	POS	N-vigilance:70
-	I	běda	NEG	U-alas:22,N-woe:14
A	V	bědovat_:T	NEG	V-lament:11
A	V	belhat_:T	NEG	V-hobble:7
A	V	běsnit_:T	NEG	V-rampage:2
A	N	bestie	NEG	N-beast:139,N-brute:18
A	N	bezduchost_^(*3ý)	NEG	N-smelling:1
A	A	bezduchý	NEG	J-mindless:17
A	D	bezdůvodně_^(*1ý)	NEG	R-gratuitously:3
A	A	bezchybný	POS	J-correct:310
A	N	bezmoc	NEG	N-helplessness:18
A	D	bezmocně_^(*1ý)	NEG	J-uproarious:1
A	N	bezmocnost_^(*3ý)	NEG	N-helplessness:17
A	A	bezmyšlenkovitý	NEG	J-mindless:8
A	N	beznaděj	NEG	N-hopelessness:29,N-desperation:4
A	D	beznadějně_^(*1ý)	NEG	R-hopelessly:73,R-desperately:6
A	A	beznadějný	NEG	R-hopelessly:8
A	D	bezohledně_^(*1ý)	NEG	R-ruthlessly:4
A	N	bezohlednost_^(*3ý)	NEG	N-ruthlessness:4
A	D	bezostyšně_^(*1ý)	NEG	R-brazenly:1
A	A	bezpečnostní	POS	N-security:3765
A	N	bezpečnost-1_^(*5ý-1)	POS	N-security:4045
-	D	bezpochyby	POS	N-doubt:198
A	N	bezpráví	NEG	N-lawlessness:16
A	N	bezprostřednost	NEG	N-imminence:1
A	D	bezpříkladně_^(*1ý)	NEG	R-breathtakingly:1
A	N	bezradnost_^(*3ý)	NEG	N-helplessness:2
A	D	bezstarostně_^(*1ý)	POS	N-insouciance:1
A	N	bezstarostnost_^(*3ý)	POS	N-recklessness:3
A	D	beztrestně_^(*1ý)	NEG	N-impunity:30
A	N	beztrestnost_^(*3ý)	NEG	N-impunity:42
A	N	bezúhonnost_^(*3ý)	POS	N-integrity:94
A	N	bezútěšnost_^(*3ý)	NEG	N-desolation:3
A	N	bezvěrec	NEG	N-infidel:22
A	D	bezvýhradně_^(*1ý)	POS	R-wholeheartedly:2
A	N	bezvýslednost_^(*3ý)	NEG	N-futility:3
A	N	bezvýznamnost_^(*3ý)	NEG	N-irrelevance:5
A	N	bída	NEG	N-poverty:87,N-misery:81,N-wretchedness:5,V-misery:1
A	N	bídák	NEG	N-wretch:19
A	A	bídný	NEG	N-wretchedness:2
A	V	bít	NEG	V-thrash:7
A	N	bitka	NEG	N-dissidence:1
A	N	bitva	NEG	V-battle:13,N-battlefield:4
A	N	blábol	NEG	N-gibberish:5,J-gibberish:2
A	V	blábolit_:T	NEG	V-babble:28,V-gibber:2
A	N	blaho	POS	N-welfare:47,N-well-being:18,N-bliss:10
A	N	blahobyt	POS	N-well-being:50,N-prosperity:31,N-wellbeing:7,N-affluence:5
A	V	blahopřát	POS	V-congratulate:107
A	A	blahopřejný	POS	J-congratulatory:5
A	D	blahosklonně_^(*1ý)	NEG	V-condescend:10
A	N	blahosklonnost_^(*3ý)	NEG	N-condescension:9
A	A	blahosklonný	NEG	V-patronize:3
A	D	bláhově_^(*1ý)	NEG	R-foolishly:3
A	A	bláhový	NEG	N-foolish:1
A	N	bláto	NEG	N-mire:2
A	N	blázen	NEG	J-crazy:930,N-fool:600,V-fool:63,N-madman:57,N-lunatic:35,N-crazy:6,J-fool:4,N-madder:1
A	N	blázinec	NEG	N-bedlam:6
A	N	bláznění_^(*3it)	NEG	N-craze:2
A	D	bláznivě_^(*1ý)	NEG	R-madly:24
A	A	bláznivý	NEG	J-crazy:368,J-fool:3,N-crazy:2,V-foolish:2
A	N	bláznovství	NEG	N-madness:16
A	N	blaženost_^(*5it)	POS	N-bliss:24,N-felicity:4
A	N	blbec	NEG	N-idiot:64,N-jerk:27,V-idiot:21
A	V	blbnout_:T	NEG	V-goof:4
A	N	blbost_,h_^(*3ý)	NEG	N-stupidity:14
A	A	blbý	NEG	J-stupid:233,N-dumb:6,N-stupid:3,J-belittling:1
A	A	blednoucí_^(*2t)	NEG	J-fading:8
A	N	blízkost_^(*3ý)	POS	N-closeness:25
A	V	blokovat_:T	NEG	V-block:484
A	V	bloumat_:T	NEG	V-mope:2
A	N	blouznění_^(*3it)	NEG	N-delirium:4
A	V	blouznit_:T	NEG	V-hallucinate:5
A	V	bodat_:T	NEG	V-sting:7,V-prickle:3,V-excoriate:1
A	V	bodnout_:W	NEG	V-stab:90
A	A	bodrý	POS	J-jolly:2
A	D	bohatě_^(*1ý)	POS	R-lavishly:1
A	N	bohatost_^(*3ý)	POS	N-richness:12
A	N	bohatství	POS	N-riches:80,N-fortune:70,N-richness:13,N-affluence:7,N-profusion:4
A	A	bohatý	POS	N-richness:5,N-mighty:3
-	D	bohudík	POS	R-thankfully:2
-	T	bohužel	NEG	R-sadly:105,U-alas:50,R-regrettably:35,R-regretfully:3,R-lamentably:1
A	N	boj	NEG	N-fight:1307,N-struggle:320,N-war:79,V-battle:25,N-warfare:18,N-strife:7,N-showdown:4
A	N	bojácnost_^(*3ý)	NEG	N-timidity:4
A	N	bojiště	NEG	N-battlefield:68,N-battleground:4
A	N	bojkot	NEG	N-boycott:26
A	N	bojkotování_^(*3at)	NEG	N-boycott:2
A	V	bojovat_:T	NEG	N-fight:245,V-battle:67,N-struggle:36,V-wrestle:10,V-contend:9
A	V	bojovat_:T	POS	V-champion:3
A	N	bojovník	NEG	N-belligerent:1
A	N	bojovník	POS	N-crusader:4,N-courageousness:1
A	N	bojovnost_^(*3ý)	NEG	N-belligerence:2,N-pugnacity:1
A	A	bojovný	NEG	N-bellicose:1
A	N	bolák	NEG	N-sore:15
A	A	bolavý	NEG	V-ache:17
A	N	bolest	NEG	N-pain:2168,N-headache:61,N-agony:57,V-pain:33,N-anguish:33,N-suffering:29,V-ache:15,V-sorrow:2,R-agonizingly:1
A	D	bolestně_^(*1ý)	NEG	R-sorely:6
A	A	bolestný	NEG	N-pain:39,J-grievous:12
A	V	bolet	NEG	V-hurt:1153,V-ache:114,N-pain:98,V-pain:28,N-sore:9
A	N	bombardování_^(*3at)	NEG	N-bombardment:42,V-bomb:29
A	A	bombardovaný_^(*2t)	NEG	V-bombard:3
A	V	bombardovat_:T	NEG	V-bomb:73,V-bombard:27,N-bombardment:4
A	N	bonus	POS	N-bonus:183
A	A	bonusový	POS	N-bonus:68
A	N	bordel	NEG	N-mess:89
